im_fitness,im_f_measure,im_precision,im_tree_height,im_tree_silent_leaves,im_tree_leaves,im_tree_nodes,incremental_fitness,incremental_f_measure,incremental_precision,incremental_tree_height,incremental_tree_silent_leaves,incremental_tree_leaves,incremental_tree_nodes,incremental_freezing_baseline_fitness,incremental_freezing_baseline_f_measure,incremental_freezing_baseline_precision,incremental_freezing_baseline_tree_height,incremental_freezing_baseline_tree_silent_leaves,incremental_freezing_baseline_tree_leaves,incremental_freezing_baseline_tree_nodes,incremental_freezing_advanced_fitness,incremental_freezing_advanced_f_measure,incremental_freezing_advanced_precision,incremental_freezing_advanced_tree_height,incremental_freezing_advanced_tree_silent_leaves,incremental_freezing_advanced_tree_leaves,incremental_freezing_advanced_tree_nodes,variants_total,variants_processed_so_far,traces_processed_so_far
0.9998540987527316,0.686650819328588,0.5228641547034727,8,10,21,35,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,19,149064
0.9998540987527316,0.686650819328588,0.5228641547034727,8,10,21,35,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,20,149145
0.9998540987527316,0.686650819328588,0.5228641547034727,8,10,21,35,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,21,149214
0.9998540987527316,0.686650819328588,0.5228641547034727,8,10,21,35,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,22,149275
0.9998540987527316,0.686650819328588,0.5228641547034727,8,10,21,35,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,23,149333
0.9998540987527316,0.686650819328588,0.5228641547034727,8,12,23,40,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,24,149389
0.9998540987527316,0.686650819328588,0.5228641547034727,8,12,23,40,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,25,149438
0.9998540987527316,0.686650819328588,0.5228641547034727,8,12,23,40,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,26,149483
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,27,149525
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,28,149559
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,29,149591
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,30,149621
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,31,149644
0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,42,0.9999894200366365,0.6738006641572996,0.5080716510099244,9,13,24,41,0.9999648140647011,0.607091860485612,0.4358515496156068,9,17,33,57,0.9998629473705118,0.8785578912174182,0.7835020976227621,8,8,20,34,231,32,149666
