im_fitness,im_f_measure,im_precision,im_tree_height,im_tree_silent_leaves,im_tree_leaves,im_tree_nodes,incremental_fitness,incremental_f_measure,incremental_precision,incremental_tree_height,incremental_tree_silent_leaves,incremental_tree_leaves,incremental_tree_nodes,incremental_freezing_baseline_fitness,incremental_freezing_baseline_f_measure,incremental_freezing_baseline_precision,incremental_freezing_baseline_tree_height,incremental_freezing_baseline_tree_silent_leaves,incremental_freezing_baseline_tree_leaves,incremental_freezing_baseline_tree_nodes,incremental_freezing_advanced_fitness,incremental_freezing_advanced_f_measure,incremental_freezing_advanced_precision,incremental_freezing_advanced_tree_height,incremental_freezing_advanced_tree_silent_leaves,incremental_freezing_advanced_tree_leaves,incremental_freezing_advanced_tree_nodes,variants_total,variants_processed_so_far,traces_processed_so_far
0.9809634927737318,0.11658144141329418,0.06197329184493716,21,25,54,94,0.9758512689638049,0.10254585609297676,0.05411629245826133,23,40,83,140,0.9758512689638049,0.10367532283782525,0.0547457821645817,24,41,87,147,0.9758512689638049,0.10255704417796994,0.054122524182404375,23,39,85,143,20,11,11
0.9823920642023033,0.11911696534735423,0.06340230991337825,20,25,54,93,0.9858371401759713,0.10297720626525324,0.05432595573440646,23,41,84,141,0.9858371401759713,0.10456296900125593,0.055209380234505834,24,42,88,148,0.9858371401759713,0.10298375254866574,0.05432959957072914,23,40,86,144,20,12,12
0.9889190424180283,0.10480464897766455,0.05533447034299788,19,24,53,91,0.9873102231519002,0.1041536295492955,0.05497661990647962,23,45,90,151,0.980267857142857,0.10076425641808216,0.05311188173024273,15,36,84,136,0.9873102231519002,0.10416681223650458,0.054983965793693246,23,44,92,154,20,13,13
0.9976190476190476,0.10990677963241295,0.058156938208253184,19,25,54,95,0.9873102231519002,0.1041536295492955,0.05497661990647962,23,45,90,151,0.9887103174603175,0.09920848128815,0.0522243713733076,16,37,86,140,0.9873102231519002,0.10416681223650458,0.054983965793693246,23,44,92,154,20,14,14
0.9976190476190476,0.10990677963241295,0.058156938208253184,19,25,54,95,0.9873102231519002,0.1041536295492955,0.05497661990647962,23,45,90,151,0.9887103174603175,0.09920848128815,0.0522243713733076,16,37,86,140,0.9873102231519002,0.10416681223650458,0.054983965793693246,23,44,92,154,20,15,15
0.9976190476190476,0.10990677963241295,0.058156938208253184,19,25,54,95,0.9909251769464105,0.10428039289559388,0.055036067325674565,23,45,89,151,0.9922630560928434,0.09932714680694803,0.052280242061263915,16,37,85,140,0.9909251769464105,0.10429359165374213,0.05504342017368069,23,44,91,154,20,16,16
0.9976190476190476,0.10990677963241295,0.058156938208253184,19,25,54,95,0.9909251769464105,0.10428039289559388,0.055036067325674565,23,45,89,151,0.9922630560928434,0.09932714680694803,0.052280242061263915,16,37,85,140,0.9909251769464105,0.10429359165374213,0.05504342017368069,23,44,91,154,20,17,17
1.0,0.10484169027966005,0.05532080868491196,19,24,53,91,0.9953488372093023,0.10423221719852856,0.05499566174998327,23,50,96,162,0.996590909090909,0.09928400245330485,0.05224438902743145,16,42,92,151,0.9953488372093023,0.10424540376353723,0.055003003804819484,23,49,98,165,20,18,18
1.0,0.10484169027966005,0.05532080868491196,19,24,53,91,0.9953488372093023,0.10423221719852856,0.05499566174998327,23,50,96,162,0.996590909090909,0.09928400245330485,0.05224438902743145,16,42,92,151,0.9953488372093023,0.10424540376353723,0.055003003804819484,23,49,98,165,20,19,19
1.0,0.10504875941241817,0.055436127939547886,21,25,54,95,1.0,0.10507748519591777,0.05545212765957441,23,52,101,170,1.0,0.09573150129519097,0.050272060563047116,21,40,87,147,1.0,0.1050907258064517,0.05545950259343002,23,51,103,173,20,20,20
